,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2021 Odometer Reading,6/30/2022 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,,,
FAC MGMT,1FDNF7AY8HDB04186,719,73 122S,,2017,Ford,F750 Dump Truck w/snowblade&salt spreader,"7,097","8,227","1,130", , ,,,,,,,,,
FAC MGMT,1FDUF4HY8HEB86124,720,73 121S,,2017,Ford,F450 Dump Truck w/salt spreader,"19,089","23,351","4,262", , ,,,,,,,,,
FAC MGMT,1FDUF4HYXHEB86125,721,73 123S,,2017,Ford,F450 4x4 Reg Cab,"15,893","18,581","2,688", , ,,,,,,,,,
FAC MGMT,1FDUF4HY6HEB86123,723,73 125S,,2017,Ford,F450 4x4 Reg Chasis Cab,"14,249","16,967","2,718", , ,,,,,,,,,
FAC MGMT,1FDUF4HY2HEB80108,726,73 127S,,2017,Ford,F450 4x4 Reg Chasis Cab,"15,006","18,219","3,213", , ,,,,,,,,,
FAC MGMT,1FTBF2B66HED45262,731,73 134S,,2017,Ford,F250 4x4 Reg Cab SS SRW,"17,389","22,141","4,752", , ,,,,,,,,,
FAC MGMT,1GT11REG1HF104775,732,73 135S,,2017,GMC,Sierra P/U 2WD Crew Cab,"15,282","18,819","3,537", , ,,,,,,,,,
FAC MGMT,1GT01REG3HZ237225,733,73 136S,,2017,GMC,Sierra P/U 2WD Reg Cab,"10,251","12,742","2,491", , ,,,,,,,,,
FAC MGMT,1GCHTBEN9H1181955,734,73 137S,,2017,Chevrolet,Colorado P/U 4x4,"14,723","18,646","3,923", , ,,,,,,,,,
FAC MGMT,NMOAS8F70H1325803,735,73 138S,,2017,Ford,Transit Connect XLT Wagon SWB,"12,572","14,890","2,318", , ,,,,,,,,,
FAC MGMT,1GCHSBEA5H1223957,743,74 154S,,2017,Chevrolet,Colorado 2WD Ext. Cab,"14,414","17,549","3,135",, ,,,,,,,,,
FAC MGMT,3C6TRVDG0HE516277,744,74 153S,,2017,Dodge,Ram Promaster Van,"33,764","36,126","2,362",, ,,,,,,,,,
FAC MGMT,ZFBERFAB3H6G39115,747,74 160S,,2017,Dodge,Ram Promaster City Van,"10,833","12,434","1,601",, ,,,,,,,,,
FAC MGMT,ZFBERFAB4H6G42038,748,74 161S,,2017,Dodge,Ram Promaster City Van,"7,207","9,523","2,316",, ,,,,,,,,,
FAC MGMT,1GTW7AFF3H1117939,750,74 158S,,2017,GMC,Savana Van,"6,954","7,738",784,, ,,,,,,,,,
FAC MGMT,1GB3GSCG5H1239910,758,74 167S,,2017,Chevrolet,Express 3500 Box Van,"23,953","29,711","5,758",, ,,,,,,,,,
FAC MGMT,3N63M0ZN2HK720353,759,74 166S,,2017,Chevrolet,City Express Van,"3,656","4,503",847,, ,,,,,,,,,
FAC MGMT,3C6TRVDG6HE512539,763,74 173S,,2017,Dodge,Ram 2500 High Roof Cargo Van,"23,341","25,216","1,875",, ,,,,,,,,,
FAC MGMT,3N63M0YN0HK719428,768,74 175S,,2017,Chevrolet,City Express Cargo Van,"12,217","15,681","3,464",, ,,,,,,,,,
FAC MGMT,1GAWGFFG2H1136948,773,74 185S,,2017,Chevrolet,Express 2500       12-Pass Van,"35,451","39,511","4,060",, ,,,,,,,,,
FAC MGMT,1FTYR1YM2HKA71030,776,74 179S,,2017,Ford,Transit 250         cargo van,"17,803","22,584","4,781",, ,,,,,,,,,
FAC MGMT,1N6BD0CTXHN742212,779,74 181S,,2017,Nissan,Frontier P/U ,"13,278","17,098","3,820",, ,,,,,,,,,
FAC MGMT,1N6AD0CW0HN755024,780,74 182S,,2017,Nissan,Frontier P/U 4x4,"18,278","20,764","2,486",, ,,,,,,,,,
FAC MGMT,NM0LS7E73H1335293,785,74 190S,,2017,Ford,Transit Connect XL Cargo Van,"6,277","8,038","1,761",, ,,,,,,,,,
FAC MGMT,3N63M0ZN2HK719705,824,75 617S,,2017,Chevrolet,City Express          cargo van,"4,538","5,674","1,136",, ,,,,,,,,,
FAC MGMT,1FDWE3FS6HDC32205,831,75 627S,,2017,Ford,E350 15' Box Van,"26,090","26,175",85,, ,,,,,,,,,
FAC MGMT,1N6BD0CT4HN745526,861,75 644S,,2017,Nissan,Frontier              King Cab 4x2,"12,159","14,822","2,663",, ,,,,,,,,,
FAC MGMT,1N6BD0CT0HN734460,862,75 640S,,2017,Nissan,Frontier              King Cab 4x2,"10,736","15,261","4,525",, ,,,,,,,,,
FAC MGMT,3N6CM0KN2HK694301,869,76 507S,,2017,Nissan,NV200 S cargo van,"3,497","4,611","1,114",, ,,,,,,,,,
FAC MGMT,1N6BD0CT9HN760555,917,78 556S,,2017,Nissan,Frontier 4x2,"22,401","25,236","2,835",, ,,,,,,,,,
FAC MGMT,1E9EA15S4JP363168,777,5823L      (low speed),,2018,E-Ride,Patriot Electric LSV,"4,487","5,528","1,041",, ,,,,,,,,,
FAC MGMT,1FTYR2YM9JKA44502,782,75 601S,,2018,Ford,Transit 250         cargo van,"45,323","65,785","20,462",, ,,,,,,,,,
FAC MGMT,1N4AZ1CP7JC312931,789,75 634S,,2018,Nissan,Leaf S,"3,756","4,771","1,015",, ,,,,,,,,,
FAC MGMT,1N4AZ1CP3JC303675,867,75 649S,,2018,Nissan,Leaf SV,"2,392","4,617","2,225",, ,,,,,,,,,
FAC MGMT,1N4AZ1CP9JC311506,886,76 527S,,2018,Nissan,Leaf SV,"2,857","4,321","1,464",, ,,,,,,,,,
FAC MGMT,2C4RC1H78JR230575,898,76 548S,,2018,Chrysler,Pacifica Hybrid,"9,261","13,385","4,124",, ,,,,,,,,,
