,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2024 Odometer Reading,6/30/2025 Odometer Reading,Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,ZFBERFAB4H6G42038,748,74 161S,,2017,Dodge,Ram Promaster City Van,"14,877","16,848","1,970",, ,,,,,,,
FAC MGMT,1GTW7AFF3H1117939,750,74 158S,,2017,GMC,Savana Van,"9,331","11,723","2,392",, ,,,,,,,
FAC MGMT,1GTN1LEC4GZ904558 ,752,74 164S,,2016,GMC,Sierra 1500 P/U,"26,859","28,581","1,722",, ,,,,,,,
FAC MGMT, 1N6BD0CT5GN711450,757,74 171S,,2016,Nissan,Frontier P/U,"37,078","42,101","5,023",, ,,,,,,,
FAC MGMT,1GB3GSCG5H1239910,758,74 167S,,2017,Chevrolet,Express 3500 Box Van,"39,416","43,591","4,175",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK720353,759,74 166S,,2017,Chevrolet,City Express Van,"6,538","7,491",953,, ,,,,,,,
FAC MGMT,1FTMF1E58JKC65751,762,74 168S,,2018,Ford,F150 P/U,"15,923","18,293","2,370",, ,,,,,,,
FAC MGMT,3C6TRVDG6HE512539,763,74 173S,,2017,Dodge,Ram 2500 High Roof Cargo Van,"28,236","29,937","1,701",, ,,,,,,,
FAC MGMT,3ALACWFC6JDJX4023,766,74 174S,,2018,Freightliner,M2 106 Truck w/Heil PT 1000 13 cubic yard compactor,"59,838","67,067","7,230",, ,,,,,,,
FAC MGMT,3N63M0YN0HK719428,768,74 175S,,2017,Chevrolet,City Express Cargo Van,"22,263","24,856","2,593",, ,,,,,,,
FAC MGMT,1FTBF2B6XJEB31462,769,74 176S,,2018,Ford,F250 4x4 P/U,"23,202","28,557","5,355",, ,,,,,,,
FAC MGMT,1GAWGFFG2H1136948,773,74 185S,,2017,Chevrolet,Express 2500       12-Pass Van,"44,757","46,310","1,553",, ,,,,,,,
FAC MGMT,1N6BD0CT5GN785483,775,74 178S,,2016,Nissan,Frontier P/U,"24,401","26,710","2,309",, ,,,,,,,
FAC MGMT,1FTYR1YM2HKA71030,776,74 179S,,2017,Ford,Transit 250         cargo van,"31,614","36,303","4,688",, ,,,,,,,
FAC MGMT,1E9EA15S4JP363168,777,5823L      (low speed),,2018,E-Ride,Patriot Electric LSV,"7,867","8,899","1,032",, ,,,,,,,
FAC MGMT,1N6AD0CW0JN727925,778,74 180S,,2018,Nissan,Frontier P/U 4x4,"23,152","27,078","3,926",, ,,,,,,,
FAC MGMT,1N6BD0CTXHN742212,779,74 181S,,2017,Nissan,Frontier P/U ,"22,784","26,663","3,879",, ,,,,,,,
FAC MGMT,1N6AD0CW0HN755024,780,74 182S,,2017,Nissan,Frontier P/U 4x4,"25,362","27,643","2,281",, ,,,,,,,
FAC MGMT,1FD7W2A63JEB31922,781,74 183S,,2018,Ford,F250 P/U crew cab w/lift gate,"20,444","24,662","4,218",, ,,,,,,,
FAC MGMT,1FTYR2YM9JKA44502,782,75 601S,,2018,Ford,Transit 250         cargo van,"111,234","117,302","6,068",, ,,,,,,,
FAC MGMT,1FDBF2A66JEB41614,783,74 186S,,2018,Ford,F250 w/reading utility body,"19,509","21,129","1,621",, ,,,,,,,
FAC MGMT,1GB3CYCGXJZ250407,784,74 187S,,2018,Chevrolet,Silverado 3500 P/U,"8,654","9,938","1,284",, ,,,,,,,
FAC MGMT,NM0LS7E73H1335293,785,74 190S,,2017,Ford,Transit Connect XL Cargo Van,"11,903","13,845","1,942",, ,,,,,,,
FAC MGMT,1FTBF2B69JEB84315,786,74 189S,,2018,Ford,F250 4x4 P/U w/snow plow,"11,705","12,931","1,225",, ,,,,,,,
FAC MGMT,1FM5K8B8XJGB04887,787,74 193S,,2018,Ford,Explorer,"10,442","11,615","1,173",, ,,,,,,,
FAC MGMT,1FDNF6AY8JDF02255,788,74 195S,,2018,Ford,F650 w/switch & go body,"12,210","13,570","1,360",, ,,,,,,,
FAC MGMT,1N4AZ1CP7JC312931,789,75 634S,,2018,Nissan,Leaf S,"6,672","7,316",644,, ,,,,,,,
FAC MGMT,1FVHG3FE3KHKS7792,790,76 516S,,2019,Freightliner,114SD Vactor Pumper Truck,"5,667","6,609",942,, ,,,,,,,
FAC MGMT,1FDUF5GY4JEB23387,799,75 606S,,2018,Ford,F550 w/service crane,"12,318","14,973","2,654",, ,,,,,,,
FAC MGMT,1FTBF2A62KEC12569,816,75 628S,,2019,Ford,F250 4x2 w/lift gate,"9,559","10,163",605,, ,,,,,,,
FAC MGMT,3N63M0ZN2HK719381,817,75 611S,,2018,Chevrolet,City Express w/glass in doors,"25,949","28,781","2,832",, ,,,,,,,
FAC MGMT,1FTBF2A66JEC65323,818,75 618S,,2018,Ford,F250 4x2 w/lift gate,"11,149","12,962","1,814",, ,,,,,,,
FAC MGMT,NM0LS7E79J1368983,819,75 614S,,2018,Ford,Transit Connect XL LWB Van,"8,612","10,298","1,686",, ,,,,,,,
FAC MGMT,1FDUF5HY6KDA03029,820,76 517S,,2019,Ford,F550 w/Terex LT40 Bucket,"36,675","43,696","7,021",, ,,,,,,,
FAC MGMT,1FT7W2A65KEC43482,821,76 504S,,2019,Ford,F250 4x2 Crew Cab,"15,793","18,134","2,341",, ,,,,,,,
FAC MGMT,1FT7W2A67KEC43483,822,76 505S,,2019,Ford,F250 4x2 Crew Cab,"18,865","21,836","2,970",, ,,,,,,,
FAC MGMT,3N63M0ZN2HK719705,824,75 617S,,2017,Chevrolet,City Express          cargo van,"8,077","9,374","1,297",, ,,,,,,,
FAC MGMT,1FDBF2A66KEC61172,825,76 513S,,2019,Ford,F250 w/XLHybrid System,"29,021","34,080","5,059",, ,,,,,,,
FAC MGMT,1FDBF2A64KEC61171,826,76 512S,,2019,Ford,F250 w/XLHybrid System,"25,625","29,923","4,298",, ,,,,,,,
