,,,,,,,,,,,,,,,,,,,,,
State Police Directive Required Annual FY Mileage Tracking Worksheet,,,,,,,,,,,,,,,,,,,,,
University Vehicles by Department,,,,,,,,,,,,,,,,,,,,,
,Vehicle Information,,,,,,,,,,,,,,,,,,,,
Department Name,VIN #,Vehicle #,License #,Pool/Leased Vehicle,Year,Make,Model,6/30/2023 Odometer Reading,"ACTUAL
2023 mileage",6/30/2024 Odometer Reading,"REVISED 
Annual Mileage",Annual Mileage,Annual FY Mileage Alternate Tracking Method - Outline below,,,,,,,,
FAC MGMT,3N6CMOKNXLK708681,939,80 705S,,2020,Nissan,NV200 S cargo van,"16,532","16,532","19,457","2,925","2,925",, ,DISPOSED,,,,,,
FAC MGMT,1GCHTBE3XG1297131,687,71 991S,,2016,Chevrolet,Colorado Ext Cab P/U,"26,139","26,139","29,063","2,924","2,924", , ,,,,,,,
FAC MGMT,1GCHTBEA0N1260620,1043,83 413S,,2022,Chevrolet,Colorado Ext Cab P/U,"2,399","2,399","5,319","2,919","2,919",, ,,,,,,,
FAC MGMT,2C4RC1H78JR230575,898,76 548S,,2018,Chrysler,Pacifica Hybrid,"18,533","18,533","21,450","2,917","2,917",, ,,,,,,,
FAC MGMT,1GB3KYCG0FF506386,640,68 166S,,2015,Chevrolet,Silverado 3500 4WD,"20,304","20,304","23,221","2,917","2,917", , ,,,,,,,
FAC MGMT, 1GCWGAFG1K1275809,976,80 719S,,2019,Chevrolet,Express 2500,"21,104","21,104","24,018","2,914","2,914",, ,,,,,,,
FAC MGMT,1FDRF3G60LEE27893,933,80 706S,,2020,Ford,F350 4x2 w/Dejana custom stake body,"7,559","7,559","10,466","2,906","2,906",, ,,,,,,,
FAC MGMT,NM0LS7E78G1233759,730,73 133S,,2016,Ford,Transit Connect XL Van LWB,"20,556","20,556","23,451","2,895","2,895", , ,,,,,,,
FAC MGMT,1N6ED1EJ0NN631047,998,80 742S,,2022,Nissan,Frontier SV P/U Crew Cab,"5,095","5,095","7,968","2,873","2,873",, ,,,,,,,
FAC MGMT,1N6ED1EJ2NN622219,947,80 743S,,2022,Nissan,Frontier SV P/U Crew Cab,"3,670","3,670","6,524","2,854","2,854",, ,,,,,,,
FAC MGMT,ZFBERFAB4H6G42038,748,74 161S,,2017,Dodge,Ram Promaster City Van,"12,033","12,033","14,877","2,845","2,845",, ,,,,,,,
FAC MGMT,1FTYE1ZM2GKA06459,665,70 476S,,2016,Ford,Transit,"23,115","23,115","25,950","2,835","2,835", , ,,,,,,,
FAC MGMT,NM0LS7E7XF1188712,648,69 462S,,2015,Ford,Transit Connect XL Van,"47,568","47,568","50,391","2,822","2,822", , ,,,,,,,
FAC MGMT,1N6ED0CE8MN703238,950,80 716S,,2021,Nissan,Frontier P/U,"6,200","6,200","9,007","2,807","2,807",, ,,,,,,,
FAC MGMT,1FM5K8B87GGA78497,664,70 474S,,2016,Ford,Explorer,"8,584","8,584","11,368","2,784","2,784", , ,,,,,,,
FAC MGMT,NM0AS8F70H1325803,735,73 138S,,2017,Ford,Transit Connect XLT Wagon SWB,"17,036","17,036","19,819","2,784","2,784", , ,,,,,,,
FAC MGMT,3N6CM0KN2KK708947,928,78 570S,,2019,Nissan,NV200,"5,291","5,291","8,060","2,769","2,769",, ,,,,,,,
FAC MGMT,1FT7W2A65KEC43482,821,76 504S,,2019,Ford,F250 4x2 Crew Cab,"13,027","13,027","15,793","2,766","2,766",, ,,,,,,,
FAC MGMT,1GC0KVCG8BF165388,512,60 070S,,2011,Chevrolet,Silverado 2500 P/U,"83,123","83,123","85,884","2,761","2,761", , ,,,,,,,
FAC MGMT,NM0LS7DN3DT130149,583,67 460S,,2013,Ford,Transit Connect XLT,"19,047","19,047","21,773","2,726","2,726", , ,,,,,,,
FAC MGMT,1FDUF4HY0KDA07877,868,76 514S,,2019,Ford,F550 Dump Truck 4x4,"11,640","11,640","14,336","2,696","2,696",, ,,,,,,,
FAC MGMT,1FDRF3H63FEB37733,641,68 165S,,2015,Ford,F350,"34,468","34,468","37,134","2,665","2,665", , ,,,,,,,
FAC MGMT,NM0LS7E23K1384473,926,78 569S,,2019,Ford,Transit Connect,"8,603","8,603","11,264","2,661","2,661",, ,,,,,,,
FAC MGMT,NM0LS7E78G1278748,700,72 789S,,2016,Ford,Transit Connect XL Van,"19,673","19,673","22,323","2,649","2,649", , ,,,,,,,
FAC MGMT,NM0LS7E74G1259209,712,73 109S,,2016,Ford,Transit Connect XL Van LWB,"16,847","16,847","19,492","2,645","2,645", , ,,,,,,,
FAC MGMT,NM0LS7S22N1540348,1006,83 421S,,2022,Ford,Transit Connect XL,"1,732","1,732","4,375","2,643","2,643",, ,,,,,,,
FAC MGMT,1FDOW4GY4BEC41756,492,60 055S,,2011,Ford,F450,"32,956","32,956","35,598","2,642","2,642", , ,,,,,,,
FAC MGMT,1GT11REG1HF104775,732,73 135S,,2017,GMC,Sierra P/U 2WD Crew Cab,"21,976","21,976","24,615","2,639","2,639", , ,,,,,,,
FAC MGMT,1FT7X2A6XFEA41417,590,67 474S,,2015,Ford,F250 Supercab P/U,"30,700","30,700","33,328","2,628","2,628", , ,,,,,,,
FAC MGMT,1FDUF5GN5LDA05850,924,78 593S,,2020,Ford,F550 Reg Cab Utility Body w/Svc Crane,"7,300","7,300","9,925","2,626","2,626",, ,,,,,,,
FAC MGMT,1FTYR1ZM7GKA23259,740,73 145S,,2016,Ford,Transit 250 Cargo Van,"32,629","32,629","35,250","2,620","2,620", , ,,,,,,,
FAC MGMT,1N6BD0CT5GN785483,775,74 178S,,2016,Nissan,Frontier P/U,"21,781","21,781","24,401","2,620","2,620",, ,,,,,,,
